code,digit_2,digit_3,digit_4,type_of_facility,type_of_care,center_digits,freq_of_bill
0827,8,2,7,Special facility or hospital,Hospice (hospital based),82,Replacement of Prior Claim
0927,9,2,7,Reserved for National Assignment,Inpatient (Part B),92,Replacement of Prior Claim
0137,1,3,7,Hospital,Outpatient,13,Replacement of Prior Claim
0237,2,3,7,Skilled Nursing Facility (SNF),Outpatient,23,Replacement of Prior Claim
0337,3,3,7,Home Health,Outpatient,33,Replacement of Prior Claim
0437,4,3,7,Religious Nonmedical (Hospital),Outpatient,43,Replacement of Prior Claim
0537,5,3,7,Religious Nonmedical (Extended Care),Outpatient,53,Replacement of Prior Claim
0637,6,3,7,Intermediate Care,Outpatient,63,Replacement of Prior Claim
0737,7,3,7,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Replacement of Prior Claim
0837,8,3,7,Special facility or hospital,ASC Services to Hospital Outpatients,83,Replacement of Prior Claim
0937,9,3,7,Reserved for National Assignment,Outpatient,93,Replacement of Prior Claim
0147,1,4,7,Hospital,Other (Part B),14,Replacement of Prior Claim
0247,2,4,7,Skilled Nursing Facility (SNF),Other (Part B),24,Replacement of Prior Claim
0347,3,4,7,Home Health,Other (Part B),34,Replacement of Prior Claim
0447,4,4,7,Religious Nonmedical (Hospital),Other (Part B),44,Replacement of Prior Claim
0547,5,4,7,Religious Nonmedical (Extended Care),Other (Part B),54,Replacement of Prior Claim
0647,6,4,7,Intermediate Care,Other (Part B),64,Replacement of Prior Claim
0747,7,4,7,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Replacement of Prior Claim
0847,8,4,7,Special facility or hospital,Free Standing Birthing Center,84,Replacement of Prior Claim
0947,9,4,7,Reserved for National Assignment,Other (Part B),94,Replacement of Prior Claim
0157,1,5,7,Hospital,Intermediate Care - Level I,15,Replacement of Prior Claim
0257,2,5,7,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Replacement of Prior Claim
0357,3,5,7,Home Health,Intermediate Care - Level I,35,Replacement of Prior Claim
0457,4,5,7,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Replacement of Prior Claim
0557,5,5,7,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Replacement of Prior Claim
0657,6,5,7,Intermediate Care,Intermediate Care - Level I,65,Replacement of Prior Claim
0757,7,5,7,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Replacement of Prior Claim
0857,8,5,7,Special facility or hospital,Critical Access Hospital (CAH),85,Replacement of Prior Claim
0957,9,5,7,Reserved for National Assignment,Intermediate Care - Level I,95,Replacement of Prior Claim
0167,1,6,7,Hospital,Intermediate Care - Level II,16,Replacement of Prior Claim
0267,2,6,7,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Replacement of Prior Claim
0367,3,6,7,Home Health,Intermediate Care - Level II,36,Replacement of Prior Claim
0467,4,6,7,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Replacement of Prior Claim
0567,5,6,7,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Replacement of Prior Claim
0667,6,6,7,Intermediate Care,Intermediate Care - Level II,66,Replacement of Prior Claim
0767,7,6,7,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Replacement of Prior Claim
0867,8,6,7,Special facility or hospital,Residential Facility,86,Replacement of Prior Claim
0967,9,6,7,Reserved for National Assignment,Intermediate Care - Level II,96,Replacement of Prior Claim
0177,1,7,7,Hospital,Subacute Inpatient,17,Replacement of Prior Claim
0277,2,7,7,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Replacement of Prior Claim
0377,3,7,7,Home Health,Subacute Inpatient,37,Replacement of Prior Claim
0477,4,7,7,Religious Nonmedical (Hospital),Subacute Inpatient,47,Replacement of Prior Claim
0577,5,7,7,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Replacement of Prior Claim
0677,6,7,7,Intermediate Care,Subacute Inpatient,67,Replacement of Prior Claim
0777,7,7,7,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Replacement of Prior Claim
0877,8,7,7,Special facility or hospital,Reserved for National Assignment,87,Replacement of Prior Claim
0977,9,7,7,Reserved for National Assignment,Subacute Inpatient,97,Replacement of Prior Claim
0187,1,8,7,Hospital,Reserved for National Assignment,18,Replacement of Prior Claim
0287,2,8,7,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Replacement of Prior Claim
0387,3,8,7,Home Health,Reserved for National Assignment,38,Replacement of Prior Claim
0487,4,8,7,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Replacement of Prior Claim
0587,5,8,7,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Replacement of Prior Claim
0687,6,8,7,Intermediate Care,Reserved for National Assignment,68,Replacement of Prior Claim
0787,7,8,7,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Replacement of Prior Claim
0887,8,8,7,Special facility or hospital,Reserved for National Assignment,88,Replacement of Prior Claim
0987,9,8,7,Reserved for National Assignment,Reserved for National Assignment,98,Replacement of Prior Claim
0197,1,9,7,Hospital,Reserved for National Assignment,19,Replacement of Prior Claim
0297,2,9,7,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Replacement of Prior Claim
0397,3,9,7,Home Health,Reserved for National Assignment,39,Replacement of Prior Claim
0497,4,9,7,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Replacement of Prior Claim
0597,5,9,7,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Replacement of Prior Claim
0697,6,9,7,Intermediate Care,Reserved for National Assignment,69,Replacement of Prior Claim
0797,7,9,7,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Replacement of Prior Claim
0897,8,9,7,Special facility or hospital,Other,89,Replacement of Prior Claim
0997,9,9,7,Reserved for National Assignment,Reserved for National Assignment,99,Replacement of Prior Claim
0118,1,1,8,Hospital,Inpatient (Part A),11,Void/Cancel of Prior Claim
0218,2,1,8,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Void/Cancel of Prior Claim
0318,3,1,8,Home Health,Inpatient (Part A),31,Void/Cancel of Prior Claim
0418,4,1,8,Religious Nonmedical (Hospital),Inpatient (Part A),41,Void/Cancel of Prior Claim
0518,5,1,8,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Void/Cancel of Prior Claim
0618,6,1,8,Intermediate Care,Inpatient (Part A),61,Void/Cancel of Prior Claim
0718,7,1,8,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Void/Cancel of Prior Claim
0818,8,1,8,Special facility or hospital,Hospice (non-hospital based),81,Void/Cancel of Prior Claim
0918,9,1,8,Reserved for National Assignment,Inpatient (Part A),91,Void/Cancel of Prior Claim
0128,1,2,8,Hospital,Inpatient (Part B),12,Void/Cancel of Prior Claim
0228,2,2,8,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Void/Cancel of Prior Claim
0328,3,2,8,Home Health,Inpatient (Part B),32,Void/Cancel of Prior Claim
0428,4,2,8,Religious Nonmedical (Hospital),Inpatient (Part B),42,Void/Cancel of Prior Claim
0528,5,2,8,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Void/Cancel of Prior Claim
0628,6,2,8,Intermediate Care,Inpatient (Part B),62,Void/Cancel of Prior Claim
0728,7,2,8,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Void/Cancel of Prior Claim
0828,8,2,8,Special facility or hospital,Hospice (hospital based),82,Void/Cancel of Prior Claim
0928,9,2,8,Reserved for National Assignment,Inpatient (Part B),92,Void/Cancel of Prior Claim
0138,1,3,8,Hospital,Outpatient,13,Void/Cancel of Prior Claim
0238,2,3,8,Skilled Nursing Facility (SNF),Outpatient,23,Void/Cancel of Prior Claim
0338,3,3,8,Home Health,Outpatient,33,Void/Cancel of Prior Claim
0438,4,3,8,Religious Nonmedical (Hospital),Outpatient,43,Void/Cancel of Prior Claim
0538,5,3,8,Religious Nonmedical (Extended Care),Outpatient,53,Void/Cancel of Prior Claim
0638,6,3,8,Intermediate Care,Outpatient,63,Void/Cancel of Prior Claim
0738,7,3,8,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Void/Cancel of Prior Claim
0838,8,3,8,Special facility or hospital,ASC Services to Hospital Outpatients,83,Void/Cancel of Prior Claim
0938,9,3,8,Reserved for National Assignment,Outpatient,93,Void/Cancel of Prior Claim
0148,1,4,8,Hospital,Other (Part B),14,Void/Cancel of Prior Claim
0248,2,4,8,Skilled Nursing Facility (SNF),Other (Part B),24,Void/Cancel of Prior Claim
0348,3,4,8,Home Health,Other (Part B),34,Void/Cancel of Prior Claim
0448,4,4,8,Religious Nonmedical (Hospital),Other (Part B),44,Void/Cancel of Prior Claim
0548,5,4,8,Religious Nonmedical (Extended Care),Other (Part B),54,Void/Cancel of Prior Claim
0648,6,4,8,Intermediate Care,Other (Part B),64,Void/Cancel of Prior Claim
0748,7,4,8,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Void/Cancel of Prior Claim
0848,8,4,8,Special facility or hospital,Free Standing Birthing Center,84,Void/Cancel of Prior Claim
0948,9,4,8,Reserved for National Assignment,Other (Part B),94,Void/Cancel of Prior Claim
0158,1,5,8,Hospital,Intermediate Care - Level I,15,Void/Cancel of Prior Claim
0258,2,5,8,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Void/Cancel of Prior Claim
0358,3,5,8,Home Health,Intermediate Care - Level I,35,Void/Cancel of Prior Claim
0458,4,5,8,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Void/Cancel of Prior Claim
0558,5,5,8,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Void/Cancel of Prior Claim
0658,6,5,8,Intermediate Care,Intermediate Care - Level I,65,Void/Cancel of Prior Claim
0758,7,5,8,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Void/Cancel of Prior Claim
0858,8,5,8,Special facility or hospital,Critical Access Hospital (CAH),85,Void/Cancel of Prior Claim
0958,9,5,8,Reserved for National Assignment,Intermediate Care - Level I,95,Void/Cancel of Prior Claim
0168,1,6,8,Hospital,Intermediate Care - Level II,16,Void/Cancel of Prior Claim
0268,2,6,8,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Void/Cancel of Prior Claim
0368,3,6,8,Home Health,Intermediate Care - Level II,36,Void/Cancel of Prior Claim
0468,4,6,8,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Void/Cancel of Prior Claim
0568,5,6,8,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Void/Cancel of Prior Claim
0668,6,6,8,Intermediate Care,Intermediate Care - Level II,66,Void/Cancel of Prior Claim
0768,7,6,8,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Void/Cancel of Prior Claim
0868,8,6,8,Special facility or hospital,Residential Facility,86,Void/Cancel of Prior Claim
0968,9,6,8,Reserved for National Assignment,Intermediate Care - Level II,96,Void/Cancel of Prior Claim
0178,1,7,8,Hospital,Subacute Inpatient,17,Void/Cancel of Prior Claim
0278,2,7,8,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Void/Cancel of Prior Claim
0378,3,7,8,Home Health,Subacute Inpatient,37,Void/Cancel of Prior Claim
0478,4,7,8,Religious Nonmedical (Hospital),Subacute Inpatient,47,Void/Cancel of Prior Claim
0578,5,7,8,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Void/Cancel of Prior Claim
0678,6,7,8,Intermediate Care,Subacute Inpatient,67,Void/Cancel of Prior Claim
0778,7,7,8,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Void/Cancel of Prior Claim
0878,8,7,8,Special facility or hospital,Reserved for National Assignment,87,Void/Cancel of Prior Claim
0978,9,7,8,Reserved for National Assignment,Subacute Inpatient,97,Void/Cancel of Prior Claim
0188,1,8,8,Hospital,Reserved for National Assignment,18,Void/Cancel of Prior Claim
0288,2,8,8,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Void/Cancel of Prior Claim
0388,3,8,8,Home Health,Reserved for National Assignment,38,Void/Cancel of Prior Claim
0488,4,8,8,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Void/Cancel of Prior Claim
0588,5,8,8,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Void/Cancel of Prior Claim
0688,6,8,8,Intermediate Care,Reserved for National Assignment,68,Void/Cancel of Prior Claim
0788,7,8,8,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Void/Cancel of Prior Claim
0888,8,8,8,Special facility or hospital,Reserved for National Assignment,88,Void/Cancel of Prior Claim
0988,9,8,8,Reserved for National Assignment,Reserved for National Assignment,98,Void/Cancel of Prior Claim
0198,1,9,8,Hospital,Reserved for National Assignment,19,Void/Cancel of Prior Claim
0298,2,9,8,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Void/Cancel of Prior Claim
0398,3,9,8,Home Health,Reserved for National Assignment,39,Void/Cancel of Prior Claim
0498,4,9,8,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Void/Cancel of Prior Claim
0598,5,9,8,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Void/Cancel of Prior Claim
0698,6,9,8,Intermediate Care,Reserved for National Assignment,69,Void/Cancel of Prior Claim
0798,7,9,8,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Void/Cancel of Prior Claim
0898,8,9,8,Special facility or hospital,Other,89,Void/Cancel of Prior Claim
0998,9,9,8,Reserved for National Assignment,Reserved for National Assignment,99,Void/Cancel of Prior Claim
0119,1,1,9,Hospital,Inpatient (Part A),11,Final claim for a Home Health PPS Episode
0219,2,1,9,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Final claim for a Home Health PPS Episode
0319,3,1,9,Home Health,Inpatient (Part A),31,Final claim for a Home Health PPS Episode
0419,4,1,9,Religious Nonmedical (Hospital),Inpatient (Part A),41,Final claim for a Home Health PPS Episode
0519,5,1,9,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Final claim for a Home Health PPS Episode
0619,6,1,9,Intermediate Care,Inpatient (Part A),61,Final claim for a Home Health PPS Episode
0719,7,1,9,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Final claim for a Home Health PPS Episode
0819,8,1,9,Special facility or hospital,Hospice (non-hospital based),81,Final claim for a Home Health PPS Episode
0919,9,1,9,Reserved for National Assignment,Inpatient (Part A),91,Final claim for a Home Health PPS Episode
0129,1,2,9,Hospital,Inpatient (Part B),12,Final claim for a Home Health PPS Episode
0229,2,2,9,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Final claim for a Home Health PPS Episode
0329,3,2,9,Home Health,Inpatient (Part B),32,Final claim for a Home Health PPS Episode
0429,4,2,9,Religious Nonmedical (Hospital),Inpatient (Part B),42,Final claim for a Home Health PPS Episode
0529,5,2,9,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Final claim for a Home Health PPS Episode
0629,6,2,9,Intermediate Care,Inpatient (Part B),62,Final claim for a Home Health PPS Episode
0729,7,2,9,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Final claim for a Home Health PPS Episode
0829,8,2,9,Special facility or hospital,Hospice (hospital based),82,Final claim for a Home Health PPS Episode
0929,9,2,9,Reserved for National Assignment,Inpatient (Part B),92,Final claim for a Home Health PPS Episode
0139,1,3,9,Hospital,Outpatient,13,Final claim for a Home Health PPS Episode
0239,2,3,9,Skilled Nursing Facility (SNF),Outpatient,23,Final claim for a Home Health PPS Episode
0339,3,3,9,Home Health,Outpatient,33,Final claim for a Home Health PPS Episode
0439,4,3,9,Religious Nonmedical (Hospital),Outpatient,43,Final claim for a Home Health PPS Episode
0539,5,3,9,Religious Nonmedical (Extended Care),Outpatient,53,Final claim for a Home Health PPS Episode
0639,6,3,9,Intermediate Care,Outpatient,63,Final claim for a Home Health PPS Episode
0739,7,3,9,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Final claim for a Home Health PPS Episode
0839,8,3,9,Special facility or hospital,ASC Services to Hospital Outpatients,83,Final claim for a Home Health PPS Episode
0939,9,3,9,Reserved for National Assignment,Outpatient,93,Final claim for a Home Health PPS Episode
0149,1,4,9,Hospital,Other (Part B),14,Final claim for a Home Health PPS Episode
0249,2,4,9,Skilled Nursing Facility (SNF),Other (Part B),24,Final claim for a Home Health PPS Episode
0349,3,4,9,Home Health,Other (Part B),34,Final claim for a Home Health PPS Episode
0449,4,4,9,Religious Nonmedical (Hospital),Other (Part B),44,Final claim for a Home Health PPS Episode
0549,5,4,9,Religious Nonmedical (Extended Care),Other (Part B),54,Final claim for a Home Health PPS Episode
0649,6,4,9,Intermediate Care,Other (Part B),64,Final claim for a Home Health PPS Episode
0749,7,4,9,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Final claim for a Home Health PPS Episode
0849,8,4,9,Special facility or hospital,Free Standing Birthing Center,84,Final claim for a Home Health PPS Episode
0949,9,4,9,Reserved for National Assignment,Other (Part B),94,Final claim for a Home Health PPS Episode
0159,1,5,9,Hospital,Intermediate Care - Level I,15,Final claim for a Home Health PPS Episode
0259,2,5,9,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Final claim for a Home Health PPS Episode
0359,3,5,9,Home Health,Intermediate Care - Level I,35,Final claim for a Home Health PPS Episode
0459,4,5,9,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Final claim for a Home Health PPS Episode
0559,5,5,9,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Final claim for a Home Health PPS Episode
0659,6,5,9,Intermediate Care,Intermediate Care - Level I,65,Final claim for a Home Health PPS Episode
0759,7,5,9,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Final claim for a Home Health PPS Episode
0859,8,5,9,Special facility or hospital,Critical Access Hospital (CAH),85,Final claim for a Home Health PPS Episode
0959,9,5,9,Reserved for National Assignment,Intermediate Care - Level I,95,Final claim for a Home Health PPS Episode
0169,1,6,9,Hospital,Intermediate Care - Level II,16,Final claim for a Home Health PPS Episode
0269,2,6,9,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Final claim for a Home Health PPS Episode
0369,3,6,9,Home Health,Intermediate Care - Level II,36,Final claim for a Home Health PPS Episode
0469,4,6,9,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Final claim for a Home Health PPS Episode
0569,5,6,9,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Final claim for a Home Health PPS Episode
0669,6,6,9,Intermediate Care,Intermediate Care - Level II,66,Final claim for a Home Health PPS Episode
0769,7,6,9,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Final claim for a Home Health PPS Episode
0869,8,6,9,Special facility or hospital,Residential Facility,86,Final claim for a Home Health PPS Episode
0969,9,6,9,Reserved for National Assignment,Intermediate Care - Level II,96,Final claim for a Home Health PPS Episode
0179,1,7,9,Hospital,Subacute Inpatient,17,Final claim for a Home Health PPS Episode
0279,2,7,9,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Final claim for a Home Health PPS Episode
0379,3,7,9,Home Health,Subacute Inpatient,37,Final claim for a Home Health PPS Episode
0479,4,7,9,Religious Nonmedical (Hospital),Subacute Inpatient,47,Final claim for a Home Health PPS Episode
0579,5,7,9,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Final claim for a Home Health PPS Episode
0679,6,7,9,Intermediate Care,Subacute Inpatient,67,Final claim for a Home Health PPS Episode
0779,7,7,9,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Final claim for a Home Health PPS Episode
0879,8,7,9,Special facility or hospital,Reserved for National Assignment,87,Final claim for a Home Health PPS Episode
0979,9,7,9,Reserved for National Assignment,Subacute Inpatient,97,Final claim for a Home Health PPS Episode
0189,1,8,9,Hospital,Reserved for National Assignment,18,Final claim for a Home Health PPS Episode
0289,2,8,9,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Final claim for a Home Health PPS Episode
0389,3,8,9,Home Health,Reserved for National Assignment,38,Final claim for a Home Health PPS Episode
0489,4,8,9,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Final claim for a Home Health PPS Episode
0589,5,8,9,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Final claim for a Home Health PPS Episode
0689,6,8,9,Intermediate Care,Reserved for National Assignment,68,Final claim for a Home Health PPS Episode
0789,7,8,9,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Final claim for a Home Health PPS Episode
0889,8,8,9,Special facility or hospital,Reserved for National Assignment,88,Final claim for a Home Health PPS Episode
0989,9,8,9,Reserved for National Assignment,Reserved for National Assignment,98,Final claim for a Home Health PPS Episode
0199,1,9,9,Hospital,Reserved for National Assignment,19,Final claim for a Home Health PPS Episode
0299,2,9,9,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Final claim for a Home Health PPS Episode
0399,3,9,9,Home Health,Reserved for National Assignment,39,Final claim for a Home Health PPS Episode
0499,4,9,9,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Final claim for a Home Health PPS Episode
0599,5,9,9,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Final claim for a Home Health PPS Episode
0699,6,9,9,Intermediate Care,Reserved for National Assignment,69,Final claim for a Home Health PPS Episode
0799,7,9,9,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Final claim for a Home Health PPS Episode
0899,8,9,9,Special facility or hospital,Other,89,Final claim for a Home Health PPS Episode
0999,9,9,9,Reserved for National Assignment,Reserved for National Assignment,99,Final claim for a Home Health PPS Episode
011A,1,1,A,Hospital,Inpatient (Part A),11,Admission/Election Notice for Hospice
021A,2,1,A,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Admission/Election Notice for Hospice
031A,3,1,A,Home Health,Inpatient (Part A),31,Admission/Election Notice for Hospice
041A,4,1,A,Religious Nonmedical (Hospital),Inpatient (Part A),41,Admission/Election Notice for Hospice
051A,5,1,A,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Admission/Election Notice for Hospice
061A,6,1,A,Intermediate Care,Inpatient (Part A),61,Admission/Election Notice for Hospice
071A,7,1,A,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Admission/Election Notice for Hospice
081A,8,1,A,Special facility or hospital,Hospice (non-hospital based),81,Admission/Election Notice for Hospice
091A,9,1,A,Reserved for National Assignment,Inpatient (Part A),91,Admission/Election Notice for Hospice
012A,1,2,A,Hospital,Inpatient (Part B),12,Admission/Election Notice for Hospice
022A,2,2,A,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Admission/Election Notice for Hospice
032A,3,2,A,Home Health,Inpatient (Part B),32,Admission/Election Notice for Hospice
042A,4,2,A,Religious Nonmedical (Hospital),Inpatient (Part B),42,Admission/Election Notice for Hospice
052A,5,2,A,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Admission/Election Notice for Hospice
062A,6,2,A,Intermediate Care,Inpatient (Part B),62,Admission/Election Notice for Hospice
072A,7,2,A,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Admission/Election Notice for Hospice
082A,8,2,A,Special facility or hospital,Hospice (hospital based),82,Admission/Election Notice for Hospice
092A,9,2,A,Reserved for National Assignment,Inpatient (Part B),92,Admission/Election Notice for Hospice
013A,1,3,A,Hospital,Outpatient,13,Admission/Election Notice for Hospice
023A,2,3,A,Skilled Nursing Facility (SNF),Outpatient,23,Admission/Election Notice for Hospice
033A,3,3,A,Home Health,Outpatient,33,Admission/Election Notice for Hospice
043A,4,3,A,Religious Nonmedical (Hospital),Outpatient,43,Admission/Election Notice for Hospice
053A,5,3,A,Religious Nonmedical (Extended Care),Outpatient,53,Admission/Election Notice for Hospice
063A,6,3,A,Intermediate Care,Outpatient,63,Admission/Election Notice for Hospice
073A,7,3,A,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Admission/Election Notice for Hospice
083A,8,3,A,Special facility or hospital,ASC Services to Hospital Outpatients,83,Admission/Election Notice for Hospice
093A,9,3,A,Reserved for National Assignment,Outpatient,93,Admission/Election Notice for Hospice
014A,1,4,A,Hospital,Other (Part B),14,Admission/Election Notice for Hospice
024A,2,4,A,Skilled Nursing Facility (SNF),Other (Part B),24,Admission/Election Notice for Hospice
034A,3,4,A,Home Health,Other (Part B),34,Admission/Election Notice for Hospice
044A,4,4,A,Religious Nonmedical (Hospital),Other (Part B),44,Admission/Election Notice for Hospice
054A,5,4,A,Religious Nonmedical (Extended Care),Other (Part B),54,Admission/Election Notice for Hospice
064A,6,4,A,Intermediate Care,Other (Part B),64,Admission/Election Notice for Hospice
074A,7,4,A,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Admission/Election Notice for Hospice
084A,8,4,A,Special facility or hospital,Free Standing Birthing Center,84,Admission/Election Notice for Hospice
094A,9,4,A,Reserved for National Assignment,Other (Part B),94,Admission/Election Notice for Hospice
015A,1,5,A,Hospital,Intermediate Care - Level I,15,Admission/Election Notice for Hospice
025A,2,5,A,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Admission/Election Notice for Hospice
035A,3,5,A,Home Health,Intermediate Care - Level I,35,Admission/Election Notice for Hospice
045A,4,5,A,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Admission/Election Notice for Hospice
055A,5,5,A,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Admission/Election Notice for Hospice
065A,6,5,A,Intermediate Care,Intermediate Care - Level I,65,Admission/Election Notice for Hospice
075A,7,5,A,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Admission/Election Notice for Hospice
085A,8,5,A,Special facility or hospital,Critical Access Hospital (CAH),85,Admission/Election Notice for Hospice
095A,9,5,A,Reserved for National Assignment,Intermediate Care - Level I,95,Admission/Election Notice for Hospice
016A,1,6,A,Hospital,Intermediate Care - Level II,16,Admission/Election Notice for Hospice
026A,2,6,A,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Admission/Election Notice for Hospice
036A,3,6,A,Home Health,Intermediate Care - Level II,36,Admission/Election Notice for Hospice
046A,4,6,A,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Admission/Election Notice for Hospice
056A,5,6,A,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Admission/Election Notice for Hospice
066A,6,6,A,Intermediate Care,Intermediate Care - Level II,66,Admission/Election Notice for Hospice
076A,7,6,A,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Admission/Election Notice for Hospice
086A,8,6,A,Special facility or hospital,Residential Facility,86,Admission/Election Notice for Hospice
096A,9,6,A,Reserved for National Assignment,Intermediate Care - Level II,96,Admission/Election Notice for Hospice
017A,1,7,A,Hospital,Subacute Inpatient,17,Admission/Election Notice for Hospice
027A,2,7,A,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Admission/Election Notice for Hospice
037A,3,7,A,Home Health,Subacute Inpatient,37,Admission/Election Notice for Hospice
